ID,Player,Alignment,Faction Outcome,First Hit,Last Hit,# of Hits,"Death/
 Survival",Inactive,GM,Mod,Spec,Game Type,Game #,,Broken,Role,,,,,,,,
975,A Joe in the Bush,,,,,,,,,,Y,MR,8,MR8,,Spec,,,,,,,,
976,Macen,G,L,,,,E,,,,,MR,8,MR8,,Double Life,,,,,,,,
977,Wyrmhero,,,,,,,,,,Y,MR,8,MR8,,Spec,,,,,,,,
978,Sart,G,L,,,,F,,,,,MR,8,MR8,,Alignment Cop,,,,,,,,
979,Kasimir,,,,,,,,,,Y,MR,8,MR8,,Spec,,,,,,,,
980,Renegade,,,,,,,,Y,,,MR,8,MR8,,GM,,,,,,,,
981,Sir Jerric,,,,,,,,,,Y,MR,8,MR8,,Spec,,,,,,,,
982,Araris Valerian,G,L,,,,E,,,,,MR,8,MR8,,Regular,,,,,,,,
983,Winter,G,L,,,,L,,,,,MR,8,MR8,,Beggar,,,,,,,,
984,Seonid,G,L,,,,E,,,,,MR,8,MR8,,Regular,,,,,,,,
985,dowanx,,,,,,,,,,Y,MR,8,MR8,,Spec,,,,,,,,
986,Bort,G,L,,,,L,,,,,MR,8,MR8,,Double Life,,,,,,,,
987,Kipper,G,L,,,,E,,,,,MR,8,MR8,,Kill,,,,,,,,
988,Feligon,G,L,,,,E,,,,,MR,8,MR8,,Regular,,,,,,,,
989,Clanky,G,L,,,,E,,,,,MR,8,MR8,,Misc,,,,,,,,
990,Phattemer,G,L,,,,L,,,,,MR,8,MR8,,Vote Move,,,,,,,,
991,Honey Badger,G,L,,,,E,,,,,MR,8,MR8,,Doctor,,,,,,,,
992,neodymium,,,,,,,,,,Y,MR,8,MR8,,Spec,,,,,,,,
993,Haelbarde,G,L,,,,L,,,,,MR,8,MR8,,Regular,,,,,,,,
994,Emerald101,G,L,,,,I,Y,,,,MR,8,MR8,,Double Life,,,,,,,,
995,TheSilverDragon,E,W,,,,S,,,,,MR,8,MR8,,PM Spy,,,,,,,,
996,Orlok Tsubodai,E,W,,,,S,,,,,MR,8,MR8,,Doctor,,,,,,,,
997,Anamaximder,G,L,,,,S,,,,,MR,8,MR8,,Vote Move,,,,,,,,
998,Shallan,E,W,,,,S,,,,,MR,8,MR8,,Misc,,,,,,,,
999,Bridge Boy/Elithanathile,,,,,,,,,,Y,MR,8,MR8,,Spec,,,,,,,,
1000,Adamir,G,L,,,,E,,,,,MR,8,MR8,,Beggar,,,,,,,,
1001,Paranoid King,G,L,,,,S,,,,,MR,8,MR8,,Misc,,,,,,,,
1002,Zephrer,,,,,,,,,,Y,MR,8,MR8,,Spec,,,,,,,,
1003,Vauhsoj,,,,,,,,,,Y,MR,8,MR8,,Spec,,,,,,,,
1004,RavenRadient7,G,L,,,,F,,,,,MR,8,MR8,,Double Life,,,,,,,,
1005,TheMightyLopen,G,L,,,,E,,,,,MR,8,MR8,,PM Spy,,,,,,,,
1006,RippleGylf,E,W,1,1,1,V,,,,,MR,8,MR8,,Regular,,,,,,,,
1007,STINK,G,L,,,,F,,,,,MR,8,MR8,,PM Spy,,,,,,,,
1008,Amanuensis,G,L,,,,L,,,,,MR,8,MR8,,Regular,,,,,,,,
1009,Meta,,,,,,,,,Y,,LG,14,LG14,Y,IM,,,,,,,,
1010,Mailliw73,N,W,,,,S,,,,,LG,14,LG14,Y,,,,,,,,,
1011,Gamma,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1012,Quiver,G,W,5,5,1,E,,,,,LG,14,LG14,Y,,,,,,,,,
1013,little wilson,G,W,3,1,7,E,,,,,LG,14,LG14,Y,,,,,,,,,
1014,Alvron,E,L,,,1,L,,,,,LG,14,LG14,Y,,,,,,,,,
1015,Aonar,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1016,Herowannabe,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1017,Luckat,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1018,A Joe in the Bush,,,,,,,,Y,,,LG,14,LG14,Y,GM,,,,,,,,
1019,Macen,G,W,5,5,1,E,,,,,LG,14,LG14,Y,,,,,,,,,
1020,Wyrmhero,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1021,Sart,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1022,Kasimir,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1023,Renegade,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1024,Sir Jerric,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1025,Araris Valerian,G,W,,,,F,,,,,LG,14,LG14,Y,,,,,,,,,
1026,Winter,G,W,,,,F,,,,,LG,14,LG14,Y,,,,,,,,,
1027,Rainspren,G,W,,,,F,,,,,LG,14,LG14,Y,,,,,,,,,
1028,Eolhondras,E,L,,,,L,,,,,LG,14,LG14,Y,,,,,,,,,
1029,Seonid,G,W,,,,L,,,,,LG,14,LG14,Y,,,,,,,,,
1030,dowanx,G,W,,,,L,,,,,LG,14,LG14,Y,,,,,,,,,
1031,Ostrich,G,W,,,,F,,,,,LG,14,LG14,Y,,,,,,,,,
1032,Bort,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1033,Kipper,G,W,,,,S,,,,,LG,14,LG14,Y,,,,,,,,,
1034,Feligon,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1035,Antillar,E,L,,,,L,,,,,LG,14,LG14,Y,,,,,,,,,
1036,Clanky,G,W,,,,L,,,,,LG,14,LG14,Y,,,,,,,,,
1037,Phattemer,G,W,,,,L,,,,,LG,14,LG14,Y,,,,,,,,,
1038,Phattemer,B,L,,,,L,,,,,LG,14,LG14,Y,,,,,,,,,
1039,Honey Badger,G,W,,,,E,,,,,LG,14,LG14,Y,,,,,,,,,
1040,Haelbarde,E,L,,,,L,,,,,LG,14,LG14,Y,,,,,,,,,
1041,Emerald101,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1042,Orlok Tsubodai,G,W,1,1,1,E,,,,,LG,14,LG14,Y,,,,,,,,,
1043,Anamaximder,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1044,Shallan,G,W,,,,E,,,,,LG,14,LG14,Y,,,,,,,,,
1045,Bridge Boy/Elithanathile,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1046,Adamir,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1047,Paranoid King,G,W,,,,L,,,,,LG,14,LG14,Y,,,,,,,,,
1048,Zephrer,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1049,Vauhsoj,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1050,RavenRadient7,E,L,,,,V,,,,,LG,14,LG14,Y,,,,,,,,,
1051,TheMightyLopen,G,W,,,,L,,,,,LG,14,LG14,Y,,,,,,,,,
1052,RippleGylf,,,,,,,,,,Y,LG,14,LG14,Y,Spec,,,,,,,,
1053,STINK,G,W,,,,S,,,,,LG,14,LG14,Y,,,,,,,,,
1054,Amanuensis,G,W,,,,L,,,,,LG,14,LG14,Y,,,,,,,,,
1055,nicocoberru,G,W,,,,F,,,,,LG,14,LG14,Y,,,,,,,,,
1056,Danstar888,G,W,,,,I,Y,,,,LG,14,LG14,Y,,,,,,,,,
1057,Meta,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1058,Mailliw73,E,W,,,,L,,,,,QF,10,QF10,,Regular,,,,,,,,
1059,Gamma,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1060,Quiver,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1061,little wilson,,,,,,,,,Y,,QF,10,QF10,,IM,,,,,,,,
1062,Alvron,G,L,,,,S,,,,,QF,10,QF10,,Regular,,,,,,,,
1063,Herowannabe,G,L,,,,E,,,,,QF,10,QF10,,Regular,,,,,,,,
1064,Luckat,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1065,A Joe in the Bush,G,L,,,,S,,,,,QF,10,QF10,,Regular,,,,,,,,
1066,Macen,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1067,Wyrmhero,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1068,Sart,E,W,,,,L,,,,,QF,10,QF10,,Regular,,,,,,,,
1069,Kasimir,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1070,Renegade,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1071,Araris Valerian,G,L,,,,E,,,,,QF,10,QF10,,Regular,,,,,,,,
1072,Winter,,,,,,,,Y,,,QF,10,QF10,,GM,,,,,,,,
1073,Rainspren,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1074,Eolhondras,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1075,Seonid,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1076,dowanx,G,L,,,,L,,,,,QF,10,QF10,,Regular,,,,,,,,
1077,Ostrich,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1078,Bort,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1079,Kipper,G,L,,,,E,,,,,QF,10,QF10,,Regular,,,,,,,,
1080,Feligon,E,W,,,,S,,,,,QF,10,QF10,,Regular,,,,,,,,
1081,Antillar,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1082,Clanky,G,L,,,,E,,,,,QF,10,QF10,,Regular,,,,,,,,
1083,Phattemer,G,L,,,,E,,,,,QF,10,QF10,,Regular,,,,,,,,
1084,Honey Badger,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1085,Haelbarde,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1086,Emerald101,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1087,Orlok Tsubodai,G,L,,,,L,,,,,QF,10,QF10,,Regular,,,,,,,,
1088,Anamaximder,G,L,,,,L,,,,,QF,10,QF10,,Regular,,,,,,,,
1089,Shallan,G,L,,,,E,,,,,QF,10,QF10,,Regular,,,,,,,,
1090,Bridge Boy/Elithanathile,G,L,,,,E,,,,,QF,10,QF10,,Regular,,,,,,,,
1091,Adamir,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1092,Paranoid King,G,L,,,,E,,,,,QF,10,QF10,,Regular,,,,,,,,
1093,Zephrer,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1094,RavenRadient7,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1095,TheMightyLopen,G,L,,,,E,,,,,QF,10,QF10,,Regular,,,,,,,,
1096,RippleGylf,G,L,,,,L,,,,,QF,10,QF10,,Regular,,,,,,,,
1097,STINK,G,L,,,,L,,,,,QF,10,QF10,,Regular,,,,,,,,
1098,Amanuensis,E,W,,,,S,,,,,QF,10,QF10,,Regular,,,,,,,,
1099,nicocoberru,,,,,,,,,,Y,QF,10,QF10,,Spec,,,,,,,,
1100,polkinghornhd,G,L,,,,L,,,,,QF,10,QF10,,Regular,,,,,,,,
1101,Meta,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1102,Mailliw73,G,W,,,,E,,,,,MR,9,MR9,,Redirect,,,,,,,,
1103,Gamma,,,,,,,,Y,,,MR,9,MR9,,GM,,,,,,,,
1104,little wilson,,,,,,,,,Y,,MR,9,MR9,,IM,,,,,,,,
1105,Alvron,G,W,,,,E,,,,,MR,9,MR9,,Doctor,,,,,,,,
1106,Herowannabe,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1107,Luckat,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1108,A Joe in the Bush,G,W,,,,L,,,,,MR,9,MR9,,Misc Cop,,,,,,,,
1109,Macen,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1110,Wyrmhero,G,W,,,,F,,,,,MR,9,MR9,,Role Cop,,,,,,,,
1111,Sart,G,W,,,,E,,,,,MR,9,MR9,,Doctor,,,,,,,,
1112,Kasimir,E,L,,,,I,Y,,,,MR,9,MR9,,Redirect,,,,,,,,
1113,Araris Valerian,G,W,,,,L,,,,,MR,9,MR9,,Role Cop,,,,,,,,
1114,Winter,E,L,,,,L,,,,,MR,9,MR9,,Roleblock,,,,,,,,
1115,Rainspren,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1116,Eolhondras,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1117,Seonid,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1118,dowanx,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1119,Ostrich,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1120,Bort,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1121,Kipper,G,W,,,,F,,,,,MR,9,MR9,,Doctor,,,,,,,,
1122,Feligon,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1123,Antillar,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1124,Clanky,G,W,,,,E,,,,,MR,9,MR9,,Smoker,,,,,,,,
1125,Phattemer,G,W,,,,S,,,,,MR,9,MR9,,Misc Cop,,,,,,,,
1126,Honey Badger,E,L,,,,L,,,,,MR,9,MR9,,Misc Cop,,,,,,,,
1127,Haelbarde,,,,,,,,Y,,,MR,9,MR9,,GM,,,,,,,,
1128,Emerald101,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1129,Orlok Tsubodai,G,W,,,,L,,,,,MR,9,MR9,,Double Life,,,,,,,,
1130,Anamaximder,G,W,,,,S,,,,,MR,9,MR9,,Misc Cop,,,,,,,,
1131,Shallan,E,L,,,,V,,,,,MR,9,MR9,,Smoker,,,,,,,,
1132,Bridge Boy/Elithanathile,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1133,Paranoid King,,,,,,,,,,Y,MR,9,MR9,,Spec,,,,,,,,
1134,Zephrer,G,W,,,,L,,,,,MR,9,MR9,,Misc Cop,,,,,,,,
1135,TheMightyLopen,E,L,,,,V,,,,,MR,9,MR9,,Role Cop,,,,,,,,
1136,RippleGylf,G,W,,,,L,,,,,MR,9,MR9,,Redirect,,,,,,,,
1137,RippleGylf,E,L,,,,L,,,,,MR,9,MR9,,Roleblock,,,,,,,,
1138,STINK,G,W,,,,E,,,,,MR,9,MR9,,Roleblock,,,,,,,,
1139,Amanuensis,G,W,,,,E,,,,,MR,9,MR9,,Double Life,,,,,,,,
1140,nicocoberru,G,W,,,,L,,,,,MR,9,MR9,,Kill,,,,,,,,
1141,polkinghornhd,G,W,,,,S,,,,,MR,9,MR9,,Smoker,,,,,,,,
1142,Creccio,G,W,,,,S,,,,,MR,9,MR9,,Redirect,,,,,,,,
1143,Alfa,E,L,,,,L,,,,,MR,9,MR9,,Double Life,,,,,,,,
1144,Meandbooks,G,W,,,,S,,,,,MR,9,MR9,,Smoker,,,,,,,,
1145,Hellscythe,G,W,,,,E,,,,,MR,9,MR9,,,,,,,,,,
1146,Meta,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1147,Mailliw73,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1148,Gamma,,,,,,,,,Y,,LG,15.1,LG15.1,Y,IM,,,,,,,,
1149,little wilson,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1150,Alvron,E,W,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1151,Luckat,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1152,A Joe in the Bush,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1153,Wyrmhero,,,,,,,,Y,,,LG,15.1,LG15.1,Y,GM,,,,,,,,
1154,Sart,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1155,Kasimir,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1156,Araris Valerian,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1157,Winter,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1158,Seonid,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1159,dowanx,E,W,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1160,Ostrich,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1161,Bort,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1162,Kipper,E,W,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1163,Feligon,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1164,Clanky,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1165,Phattemer,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1166,Honey Badger,E,W,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1167,Haelbarde,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1168,Emerald101,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1169,Orlok Tsubodai,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1170,Anamaximder,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1171,Burnt Spaghetti,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1172,Shallan,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1173,Bridge Boy/Elithanathile,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1174,Paranoid King,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1175,Zephrer,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1176,TheMightyLopen,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1177,RippleGylf,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1178,STINK,E,W,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1179,Amanuensis,E,W,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1180,polkinghornhd,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1181,Creccio,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1182,Alfa,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1183,Hellscythe,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1184,Arraenae,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1185,Kaid,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1186,Elbereth,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1187,Queensteph,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1188,Elkanah,G,L,,,0,S,,,,,LG,15.1,LG15.1,Y,,,,,,,,,
1189,Zed,,,,,,,,,,Y,LG,15.1,LG15.1,Y,Spec,,,,,,,,
1190,Meta,,,,,,,,,Y,,LG,15.2,LG15.2,Y,IM,,,,,,,,
1191,Mailliw73,G,W,,,,E,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1192,Gamma,,,,,,,,,,Y,LG,15.2,LG15.2,Y,Spec,,,,,,,,
1193,little wilson,E,L,3,3,1,L,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1194,Alvron,G,W,,,,F,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1195,Luckat,,,,,,,,,,Y,LG,15.2,LG15.2,Y,Spec,,,,,,,,
1196,Wyrmhero,,,,,,,,Y,,,LG,15.2,LG15.2,Y,GM,,,,,,,,
1197,Sart,,,,,,,,,,Y,LG,15.2,LG15.2,Y,Spec,,,,,,,,
1198,Kasimir,G,W,,,,E,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1199,Araris Valerian,E,L,,,,V,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1200,Seonid,,,,,,,,,,Y,LG,15.2,LG15.2,Y,Spec,,,,,,,,
1201,dowanx,G,W,,,,E,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1202,Ostrich,,,,,,,,,,Y,LG,15.2,LG15.2,Y,Spec,,,,,,,,
1203,Bort,G,W,,,,L,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1204,Kipper,G,W,,,,L,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1205,Feligon,,,,,,,,,,Y,LG,15.2,LG15.2,Y,Spec,,,,,,,,
1206,Clanky,G,W,,,,S,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1207,Phattemer,G,W,,,,S,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1208,Honey Badger,G,W,,,,L,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1209,Haelbarde,,,,,,,,,,Y,LG,15.2,LG15.2,Y,Spec,,,,,,,,
1210,Orlok Tsubodai,G,W,,,,S,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1211,Anamaximder,,,,,,,,,,Y,LG,15.2,LG15.2,Y,Spec,,,,,,,,
1212,Burnt Spaghetti,E,L,,,,L,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1213,Shallan,G,W,,,,L,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1214,Bridge Boy/Elithanathile,E,L,,,,V,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1215,Paranoid King,G,W,,,,L,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1216,TheMightyLopen,G,W,,,,S,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1217,RippleGylf,G,W,,,,E,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1218,STINK,G,W,,,,F,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1219,Amanuensis,G,W,,,,E,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1220,polkinghornhd,G,W,,,,F,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1221,Creccio,G,W,,,,L,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1222,Alfa,G,W,,,,L,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1223,Hellscythe,B,L,,,,S,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1224,Arraenae,G,W,,,,E,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1225,Kaid,G,W,,,,F,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1226,Elbereth,G,W,,,0,S,,,,,LG,15.2,LG15.2,Y,Kill,,,,,,,,
1227,Queensteph,G,W,,,,S,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1228,Elkanah,E,L,,,,L,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1229,Zed,G,W,,,,F,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1230,Biggoron,G,W,,,,S,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1231,The Cow,E,L,,,,V,,,,,LG,15.2,LG15.2,Y,,,,,,,,,
1232,Kamyle,,,,,,,,,,Y,LG,15.2,LG15.2,Y,Spec,,,,,,,,
1233,Meta,G,L,,,,S,,,,,QF,11,QF11,,Protect,,,,,,,,
1234,Mailliw73,,,,,,,,Y,,,QF,11,QF11,,GM,,,,,,,,
1235,little wilson,,,,,,,,,Y,,QF,11,QF11,,IM,,,,,,,,
1236,Alvron,E,W,,,0,S,,,,,QF,11,QF11,,Protect,,,,,,,,
1237,Luckat,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1238,Wyrmhero,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1239,Sart,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1240,Jain,G,L,,,,I,Y,,,,QF,11,QF11,,Writeup Messages,,,,,,,,
1241,Kasimir,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1242,Araris Valerian,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1243,Seonid,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1244,dowanx,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1245,Ostrich,G,L,,,,I,Y,,,,QF,11,QF11,,Regular,,,,,,,,
1246,Bort,G,L,,,,S,,,,,QF,11,QF11,,Writeup Messages,,,,,,,,
1247,Kipper,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1248,Feligon,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1249,Clanky,G,L,,,,E,,,,,QF,11,QF11,,Regular,,,,,,,,
1250,Phattemer,G,L,,,,I,Y,,,,QF,11,QF11,,Regular,,,,,,,,
1251,Honey Badger,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1252,Haelbarde,,,,,,,,Y,,,QF,11,QF11,,GM,,,,,,,,
1253,Orlok Tsubodai,E,W,,,0,S,,,,,QF,11,QF11,,Mass PMs,,,,,,,,
1254,Anamaximder,G,L,,,,E,,,,,QF,11,QF11,,Regular,,,,,,,,
1255,Burnt Spaghetti,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1256,Shallan,G,L,,,,I,Y,,,,QF,11,QF11,,Regular,,,,,,,,
1257,Bridge Boy/Elithanathile,G,L,,,,E,,,,,QF,11,QF11,,Regular,,,,,,,,
1258,Paranoid King,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1259,TheMightyLopen,E,W,,,0,S,,,,,QF,11,QF11,,Alignment Cop,,,,,,,,
1260,RippleGylf,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1261,STINK,G,L,,,,E,,,,,QF,11,QF11,,Writeup Messages,,,,,,,,
1262,Amanuensis,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1263,polkinghornhd,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1264,Creccio,G,L,,,,L,,,,,QF,11,QF11,,Regular,,,,,,,,
1265,Alfa,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1266,Meandbooks,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1267,Hellscythe,G,L,,,,L,,,,,QF,11,QF11,,Mass PMs,,,,,,,,
1268,Arraenae,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1269,Kaid,G,L,,,,I,Y,,,,QF,11,QF11,,Protect,,,,,,,,
1270,Elbereth,,,,,,,,Y,,,QF,11,QF11,,GM,,,,,,,,
1271,Elkanah,G,L,,,,E,,,,,QF,11,QF11,,Regular,,,,,,,,
1272,Zed,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1273,Kamyle,,,,,,,,,,Y,QF,11,QF11,,Spec,,,,,,,,
1274,Meta,,,,,,,,,Y,,MR,10,MR10,Y,IM,,,,,,,,
1275,Mailliw73,E,W,1,4,2,V,,,,,MR,10,MR10,Y,,,,,,,,,
1276,little wilson,,,,,,,,Y,,,MR,10,MR10,Y,GM,,,,,,,,
1277,Alvron,G,L,3,3,1,L,,,,,MR,10,MR10,Y,,,,,,,,,
1278,Aonar,E,W,,,0,S,,,,,MR,10,MR10,Y,,,,,,,,,
1279,Luckat,,,,,,,,,,Y,MR,10,MR10,Y,Spec,,,,,,,,
